id,area,square_feet,num_bedrooms,num_bathrooms,year_built,has_garage,price,age,price_per_sqrt,swimming_ful,garden
22595,Pimpri-Chinchwad,2409,4,1,1997,No,5003045,28,2076.814031,No,Yes
22596,Hinjewadi,984,5,3,2016,Yes,14142944,9,14372.91057,Yes,Yes
22597,Pimpri-Chinchwad,2663,4,3,1981,Yes,5617972,44,2109.640255,No,Yes
22598,Hinjewadi,1095,5,1,2001,No,11232526,24,10258.01461,Yes,Yes
22599,Hinjewadi,839,2,1,1984,No,12337822,41,14705.38975,Yes,Yes
22600,Viman Nagar,2043,4,1,2014,No,9035873,11,4422.845326,No,Yes
22601,Pimpri-Chinchwad,1401,4,2,1986,Yes,5407812,39,3859.965739,No,Yes
22602,Pimpri-Chinchwad,1825,4,2,2014,Yes,2542565,11,1393.186301,No,No
22603,Koregaon Park,1051,5,3,1999,Yes,6416692,26,6105.320647,No,Yes
22604,Kalyani Nagar,2230,4,2,2018,No,9392194,7,4211.746188,No,Yes
22605,Koregaon Park,1992,3,2,2008,No,4364807,17,2191.168173,No,No
22606,Viman Nagar,984,1,2,1988,No,12149310,37,12346.85976,Yes,Yes
22607,Hinjewadi,3252,4,1,2016,No,9101115,9,2798.620849,No,Yes
22608,Viman Nagar,2886,1,3,1999,No,10128599,26,3509.563063,Yes,Yes
22609,Viman Nagar,1465,2,2,2000,No,8042732,25,5489.919454,No,Yes
22610,Koregaon Park,2942,2,2,1984,Yes,5197868,41,1766.780421,No,Yes
22611,Hinjewadi,1106,1,3,2007,No,7291050,18,6592.269439,No,Yes
22612,Kalyani Nagar,1382,2,3,2006,No,6663692,19,4821.77424,No,Yes
22613,Viman Nagar,2356,5,1,1992,Yes,5960530,33,2529.936333,No,Yes
22614,Kalyani Nagar,1811,1,1,2022,Yes,5859102,3,3235.285478,No,Yes
22615,Hinjewadi,2905,5,2,1983,Yes,9313847,42,3206.143546,No,Yes
22616,Hinjewadi,822,1,2,2006,No,6665337,19,8108.682482,No,Yes
22617,Koregaon Park,2668,4,2,2005,Yes,7884136,20,2955.073463,No,Yes
22618,Pimpri-Chinchwad,2454,4,1,2001,Yes,4595537,24,1872.671964,No,No
22619,Koregaon Park,1097,2,1,2016,No,14017655,9,12778.17229,Yes,Yes
22620,Kalyani Nagar,1659,5,1,2007,Yes,7857155,18,4736.078963,No,Yes
22621,Koregaon Park,1735,1,3,1982,Yes,13863392,43,7990.427666,Yes,Yes
22622,Hinjewadi,2943,1,2,2023,Yes,10967292,2,3726.568807,Yes,Yes
22623,Viman Nagar,2995,1,2,2005,Yes,5909053,20,1972.972621,No,Yes
22624,Pimpri-Chinchwad,1501,1,1,2013,No,3967941,12,2643.531646,No,No
22625,Hinjewadi,3230,3,2,2010,Yes,6463526,15,2001.091641,No,Yes
22626,Viman Nagar,3402,2,2,1987,No,14663575,38,4310.280717,Yes,Yes
22627,Kalyani Nagar,2546,5,2,2022,Yes,4926001,3,1934.800079,No,No
22628,Kalyani Nagar,1360,5,3,2018,Yes,4332597,7,3185.733088,No,No
22629,Kalyani Nagar,2170,5,3,2002,Yes,7991683,23,3682.803226,No,Yes
22630,Koregaon Park,2475,5,1,1992,No,7357629,33,2972.779394,No,Yes
22631,Kalyani Nagar,2069,3,1,2013,No,7342177,12,3548.659739,No,Yes
22632,Kalyani Nagar,2887,4,3,1987,No,2105186,38,729.1950121,No,No
22633,Koregaon Park,2281,3,2,1989,Yes,6860199,36,3007.540114,No,Yes
22634,Viman Nagar,1691,3,3,1992,Yes,6208484,33,3671.486694,No,Yes
22635,Hinjewadi,1307,1,1,2009,Yes,12767147,16,9768.283856,Yes,Yes
22636,Pimpri-Chinchwad,2455,5,3,2022,No,8513046,3,3467.635845,No,Yes
22637,Kalyani Nagar,931,2,3,1986,Yes,14214121,39,15267.58432,Yes,Yes
22638,Kalyani Nagar,891,3,1,2009,No,10479898,16,11761.95062,Yes,Yes
22639,Kalyani Nagar,3068,4,3,2023,Yes,10413776,2,3394.32073,Yes,Yes
22640,Koregaon Park,2219,5,1,1997,No,5021098,28,2262.775124,No,Yes
22641,Koregaon Park,2101,2,1,1988,Yes,8624638,37,4105.015707,No,Yes
22642,Koregaon Park,867,5,2,2012,Yes,8282215,13,9552.727797,No,Yes
22643,Pimpri-Chinchwad,2936,3,3,2021,No,2316657,4,789.0521117,No,No
22644,Hinjewadi,2193,3,3,2013,No,3281682,12,1496.435021,No,No
22645,Kalyani Nagar,2407,2,3,2016,No,2090278,9,868.4162858,No,No
22646,Viman Nagar,2044,3,1,1984,Yes,8095997,41,3960.859589,No,Yes
22647,Kalyani Nagar,870,3,2,2011,No,4726081,14,5432.277011,No,No
22648,Kalyani Nagar,3239,1,1,2017,No,6670267,8,2059.359988,No,Yes
22649,Kalyani Nagar,1329,5,3,2019,Yes,2775826,6,2088.657637,No,No
22650,Kalyani Nagar,3449,1,3,1989,Yes,11788552,36,3417.962308,Yes,Yes
22651,Hinjewadi,2907,4,3,2008,Yes,12881671,17,4431.259374,Yes,Yes
22652,Viman Nagar,1256,4,1,1995,Yes,8510609,30,6775.96258,No,Yes
22653,Koregaon Park,1244,3,1,1993,No,8496212,32,6829.752412,No,Yes
22654,Viman Nagar,1539,4,1,1980,Yes,3525866,45,2291.011046,No,No
22655,Kalyani Nagar,1342,1,1,1980,Yes,3184998,45,2373.321908,No,No
22656,Viman Nagar,1936,2,1,1992,No,12131907,33,6266.480888,Yes,Yes
22657,Kalyani Nagar,3365,3,1,2003,No,3374436,22,1002.80416,No,No
22658,Viman Nagar,1262,1,2,1987,No,4229693,38,3351.579239,No,No
22659,Pimpri-Chinchwad,2993,4,2,2023,Yes,3035381,2,1014.16004,No,No
22660,Viman Nagar,2133,3,3,2009,No,3002912,16,1407.834974,No,No
22661,Koregaon Park,1991,4,1,2020,Yes,2629874,5,1320.880964,No,No
22662,Koregaon Park,1746,2,1,1989,No,13125544,36,7517.4937,Yes,Yes
22663,Viman Nagar,1001,2,1,2017,No,12595093,8,12582.51049,Yes,Yes
22664,Viman Nagar,2279,1,1,1999,No,3144678,26,1379.849934,No,No
22665,Hinjewadi,3329,5,3,1994,No,8690633,31,2610.583659,No,Yes
22666,Viman Nagar,805,5,3,2018,No,8339275,7,10359.34783,No,Yes
22667,Koregaon Park,2358,3,1,1986,No,14211842,39,6027.07464,Yes,Yes
22668,Pimpri-Chinchwad,1411,1,1,2007,No,2841239,18,2013.635011,No,No
22669,Koregaon Park,2227,1,3,1991,Yes,6204031,34,2785.824427,No,Yes
22670,Hinjewadi,1910,3,2,1981,Yes,4304715,44,2253.777487,No,No
22671,Viman Nagar,1654,3,3,1986,Yes,4977619,39,3009.443168,No,No
22672,Pimpri-Chinchwad,1428,2,3,2000,No,14057262,25,9844.021008,Yes,Yes
22673,Koregaon Park,2115,3,3,2002,No,12201241,23,5768.908274,Yes,Yes
22674,Pimpri-Chinchwad,3213,4,2,2020,Yes,11817256,5,3677.950825,Yes,Yes
22675,Kalyani Nagar,2124,1,1,2011,Yes,5420907,14,2552.216102,No,Yes
22676,Koregaon Park,2165,3,1,2017,Yes,5629906,8,2600.418476,No,Yes
22677,Kalyani Nagar,3190,3,2,1985,Yes,4298253,40,1347.414734,No,No
22678,Pimpri-Chinchwad,1865,3,1,1994,Yes,13353292,31,7159.942091,Yes,Yes
22679,Viman Nagar,1640,2,2,1991,Yes,6264948,34,3820.090244,No,Yes
22680,Viman Nagar,3132,4,2,2009,Yes,10419869,16,3326.905811,Yes,Yes
22681,Viman Nagar,1844,2,2,2020,No,14600202,5,7917.680043,Yes,Yes
22682,Kalyani Nagar,2053,3,3,2023,No,6450463,2,3141.969313,No,Yes
22683,Viman Nagar,1220,1,3,2001,No,11341850,24,9296.598361,Yes,Yes
22684,Hinjewadi,1988,4,3,2017,No,6774709,8,3407.801308,No,Yes
22685,Koregaon Park,2749,1,3,2010,Yes,10929702,15,3975.882866,Yes,Yes
22686,Koregaon Park,2018,2,3,2004,Yes,12520859,21,6204.588206,Yes,Yes
22687,Pimpri-Chinchwad,2577,3,1,2021,No,11620284,4,4509.229336,Yes,Yes
22688,Kalyani Nagar,2652,2,1,2000,Yes,9476355,25,3573.286199,No,Yes
22689,Koregaon Park,1103,4,1,2003,No,13947627,22,12645.17407,Yes,Yes
22690,Kalyani Nagar,1798,2,2,2014,No,3596197,11,2000.109566,No,No
22691,Pimpri-Chinchwad,2250,1,2,2012,No,13235659,13,5882.515111,Yes,Yes
22692,Viman Nagar,1903,4,1,2017,Yes,4898279,8,2573.977404,No,No
22693,Pimpri-Chinchwad,1843,2,2,1981,Yes,2763153,44,1499.269126,No,No
22694,Hinjewadi,2378,3,3,1988,No,4382365,37,1842.878469,No,No
22695,Viman Nagar,873,3,2,1980,No,13767987,45,15770.89003,Yes,Yes
22696,Viman Nagar,2619,5,2,2005,No,9291987,20,3547.914089,No,Yes
22697,Viman Nagar,2188,2,2,1987,Yes,13969571,38,6384.630256,Yes,Yes
22698,Pimpri-Chinchwad,807,3,3,1998,Yes,5319248,27,6591.385378,No,Yes
22699,Hinjewadi,1926,2,2,2014,No,11798724,11,6126.024922,Yes,Yes
22700,Kalyani Nagar,1655,2,1,2020,Yes,14284232,5,8630.955891,Yes,Yes
22701,Pimpri-Chinchwad,3248,3,1,2023,Yes,7405481,2,2280.012623,No,Yes
22702,Koregaon Park,2739,4,1,2022,Yes,7143070,3,2607.911647,No,Yes
22703,Koregaon Park,2220,4,1,1998,Yes,10103821,27,4551.270721,Yes,Yes
22704,Pimpri-Chinchwad,2056,5,3,2017,Yes,10876282,8,5290.020428,Yes,Yes
22705,Kalyani Nagar,2606,2,3,2020,Yes,6538258,5,2508.924789,No,Yes
22706,Koregaon Park,3182,2,2,2000,No,6687369,25,2101.62445,No,Yes
22707,Kalyani Nagar,2561,2,3,1989,Yes,5135595,36,2005.308473,No,Yes
22708,Viman Nagar,846,3,2,1994,Yes,2837188,31,3353.650118,No,No
22709,Pimpri-Chinchwad,1309,3,1,2000,Yes,10651228,25,8136.919786,Yes,Yes
22710,Viman Nagar,2078,2,2,1996,No,14179384,29,6823.572666,Yes,Yes
22711,Koregaon Park,1909,5,1,1996,Yes,6083960,29,3186.987952,No,Yes
22712,Kalyani Nagar,994,5,3,1995,Yes,13990716,30,14075.167,Yes,Yes
22713,Viman Nagar,2760,2,3,2008,Yes,6669447,17,2416.466304,No,Yes
22714,Koregaon Park,2504,1,2,1983,No,2039871,42,814.6449681,No,No
22715,Hinjewadi,1379,4,1,2000,No,13355400,25,9684.84409,Yes,Yes
22716,Viman Nagar,2801,1,1,2005,No,3346508,20,1194.75473,No,No
22717,Hinjewadi,967,2,2,2004,Yes,8209156,21,8489.302999,No,Yes
22718,Hinjewadi,1150,5,2,1983,No,9573428,42,8324.72,No,Yes
22719,Koregaon Park,2689,2,1,2007,Yes,6053863,18,2251.343622,No,Yes
22720,Pimpri-Chinchwad,2992,4,3,2013,Yes,2985940,12,997.9745989,No,No
22721,Kalyani Nagar,3192,2,3,2007,No,9449755,18,2960.449561,No,Yes
22722,Koregaon Park,1315,1,2,2000,No,4452732,25,3386.107985,No,No
22723,Viman Nagar,2907,1,2,2022,No,11842267,3,4073.707258,Yes,Yes
22724,Kalyani Nagar,3206,4,1,1989,Yes,6857159,36,2138.85184,No,Yes
22725,Pimpri-Chinchwad,3411,1,2,1998,No,14453449,27,4237.305482,Yes,Yes
22726,Koregaon Park,1250,2,1,1986,Yes,3935318,39,3148.2544,No,No
22727,Pimpri-Chinchwad,1468,5,1,2008,No,5973427,17,4069.091962,No,Yes
22728,Viman Nagar,1723,5,2,2010,Yes,10888000,15,6319.210679,Yes,Yes
22729,Koregaon Park,2779,3,1,1986,Yes,7559144,39,2720.094998,No,Yes
22730,Viman Nagar,2437,2,3,2001,No,6940100,24,2847.804678,No,Yes
22731,Kalyani Nagar,3450,3,3,2023,No,14220645,2,4121.926087,Yes,Yes
22732,Kalyani Nagar,2228,5,3,2000,Yes,5859920,25,2630.125673,No,Yes
22733,Pimpri-Chinchwad,3141,2,3,2017,Yes,14953520,8,4760.751353,Yes,Yes
22734,Pimpri-Chinchwad,1005,5,2,2003,Yes,10319436,22,10268.09552,Yes,Yes
22735,Kalyani Nagar,915,5,3,1986,No,14054426,39,15360.02842,Yes,Yes
22736,Hinjewadi,2891,5,1,2015,No,10219754,10,3535.023867,Yes,Yes
22737,Kalyani Nagar,2038,3,2,1994,No,7601574,31,3729.918548,No,Yes
22738,Koregaon Park,3458,5,2,1980,No,12027989,45,3478.307981,Yes,Yes
22739,Viman Nagar,1404,1,3,2013,Yes,14898879,12,10611.73718,Yes,Yes
22740,Kalyani Nagar,3304,4,3,1989,Yes,9763075,36,2954.925847,No,Yes
22741,Kalyani Nagar,1804,1,3,2005,Yes,3001384,20,1663.738359,No,No
22742,Viman Nagar,1892,3,1,2004,No,5245893,21,2772.670719,No,Yes
22743,Viman Nagar,1581,1,1,1989,Yes,11908999,36,7532.573688,Yes,Yes
22744,Koregaon Park,1582,5,3,2001,Yes,13582748,24,8585.807838,Yes,Yes
22745,Viman Nagar,962,5,3,2015,Yes,14162474,10,14721.90644,Yes,Yes
22746,Pimpri-Chinchwad,810,1,3,1986,Yes,11498902,39,14196.17531,Yes,Yes
22747,Kalyani Nagar,2407,5,3,2005,Yes,3329920,20,1383.431658,No,No
22748,Viman Nagar,844,5,1,2020,Yes,5876452,5,6962.620853,No,Yes
22749,Koregaon Park,2411,1,3,1989,No,13883963,36,5758.591041,Yes,Yes
22750,Viman Nagar,2816,3,2,2013,No,4816269,12,1710.322798,No,No
22751,Kalyani Nagar,1591,3,1,1998,No,6003851,27,3773.633564,No,Yes
22752,Hinjewadi,3391,3,3,2003,Yes,10321459,22,3043.780301,Yes,Yes
22753,Viman Nagar,2616,4,3,1991,Yes,14605319,34,5583.073012,Yes,Yes
22754,Pimpri-Chinchwad,2052,3,1,1991,Yes,10989992,34,5355.746589,Yes,Yes
22755,Kalyani Nagar,1150,5,2,1982,No,8864236,43,7708.031304,No,Yes
22756,Koregaon Park,926,3,1,1982,No,12555549,43,13558.90821,Yes,Yes
22757,Kalyani Nagar,1046,4,3,2009,Yes,9923905,16,9487.48088,No,Yes
22758,Hinjewadi,1233,5,2,2022,No,5825755,3,4724.862125,No,Yes
22759,Koregaon Park,1495,1,3,1986,No,10436341,39,6980.8301,Yes,Yes
22760,Hinjewadi,2791,4,1,2021,Yes,5580928,4,1999.615908,No,Yes
22761,Hinjewadi,2336,3,1,1993,Yes,14095618,32,6034.083048,Yes,Yes
22762,Pimpri-Chinchwad,3112,4,3,1995,No,10809722,30,3473.561054,Yes,Yes
22763,Viman Nagar,2953,5,3,2023,No,6289343,2,2129.814765,No,Yes
22764,Pimpri-Chinchwad,2127,5,2,2003,Yes,2111180,22,992.5622943,No,No
22765,Pimpri-Chinchwad,2729,3,2,1989,No,6778944,36,2484.039575,No,Yes
22766,Pimpri-Chinchwad,1529,5,2,2012,Yes,10230510,13,6690.981033,Yes,Yes
22767,Koregaon Park,2521,3,2,1983,Yes,13786463,42,5468.648552,Yes,Yes
22768,Viman Nagar,1868,3,3,2014,Yes,7769490,11,4159.255889,No,Yes
22769,Viman Nagar,3121,1,2,1980,No,12841577,45,4114.571291,Yes,Yes
22770,Koregaon Park,2264,1,1,2023,Yes,9706883,2,4287.492491,No,Yes
22771,Pimpri-Chinchwad,2747,1,3,2018,Yes,13865043,7,5047.340007,Yes,Yes
22772,Pimpri-Chinchwad,3374,5,2,2001,Yes,10402950,24,3083.269117,Yes,Yes
22773,Hinjewadi,962,1,2,2022,No,3992541,3,4150.25052,No,No
22774,Hinjewadi,1368,1,3,2019,No,13084640,6,9564.795322,Yes,Yes
22775,Kalyani Nagar,1628,4,3,2007,Yes,8465483,18,5199.928133,No,Yes
22776,Hinjewadi,1141,4,1,1994,Yes,5279430,31,4627.020158,No,Yes
22777,Viman Nagar,1009,5,3,1992,Yes,13390695,33,13271.25372,Yes,Yes
22778,Koregaon Park,3472,1,3,2019,Yes,2074264,6,597.4262673,No,No
22779,Pimpri-Chinchwad,1940,4,1,1989,Yes,14194511,36,7316.758247,Yes,Yes
22780,Kalyani Nagar,3416,2,2,2020,Yes,4418659,5,1293.518443,No,No
22781,Hinjewadi,3472,2,2,1991,No,10337239,34,2977.31538,Yes,Yes
22782,Kalyani Nagar,2510,2,3,2021,No,11780684,4,4693.499602,Yes,Yes
22783,Koregaon Park,1097,1,2,1985,Yes,5855770,40,5337.985415,No,Yes
22784,Koregaon Park,2211,5,2,2012,No,9564612,13,4325.921303,No,Yes
22785,Kalyani Nagar,1208,5,2,2018,No,2921094,7,2418.124172,No,No
22786,Kalyani Nagar,2391,2,3,2013,Yes,6578466,12,2751.345044,No,Yes
22787,Kalyani Nagar,868,4,3,1996,Yes,4634339,29,5339.10023,No,No
22788,Pimpri-Chinchwad,3403,3,2,2012,No,10119146,13,2973.595651,Yes,Yes
22789,Viman Nagar,2939,4,3,2016,Yes,7876392,9,2679.956448,No,Yes
22790,Hinjewadi,1641,4,1,2005,Yes,14444804,20,8802.439976,Yes,Yes
22791,Hinjewadi,957,2,3,1989,No,2549761,36,2664.327064,No,No
22792,Hinjewadi,2203,4,1,2010,No,4428036,15,2010.002724,No,No
22793,Kalyani Nagar,2018,2,3,2013,Yes,12842108,12,6363.77998,Yes,Yes
22794,Kalyani Nagar,3131,1,2,2004,No,4123632,21,1317.033536,No,No
22795,Kalyani Nagar,2046,1,3,2012,No,2224746,13,1087.363636,No,No
22796,Pimpri-Chinchwad,2631,5,2,2012,Yes,9374096,13,3562.940327,No,Yes
22797,Pimpri-Chinchwad,3462,4,3,2006,No,10797017,19,3118.722415,Yes,Yes
22798,Pimpri-Chinchwad,1854,2,2,1985,No,14491986,40,7816.605178,Yes,Yes
22799,Pimpri-Chinchwad,894,2,2,2011,No,14139917,14,15816.46197,Yes,Yes
22800,Koregaon Park,3377,4,3,2020,No,10613975,5,3143.018952,Yes,Yes
22801,Pimpri-Chinchwad,3007,4,1,1997,Yes,11979167,28,3983.760226,Yes,Yes
22802,Pimpri-Chinchwad,1639,1,2,2002,No,4143144,23,2527.848688,No,No
22803,Pimpri-Chinchwad,2548,3,2,1980,No,10867709,45,4265.191915,Yes,Yes
22804,Hinjewadi,1994,1,1,2006,Yes,14813159,19,7428.866098,Yes,Yes
22805,Hinjewadi,1613,2,1,1996,Yes,2631328,29,1631.32548,No,No
22806,Hinjewadi,1780,3,2,2009,No,14473405,16,8131.126404,Yes,Yes
22807,Viman Nagar,3070,4,1,2003,Yes,14590283,22,4752.535179,Yes,Yes
22808,Koregaon Park,2234,4,2,1989,Yes,5877509,36,2630.935094,No,Yes
22809,Kalyani Nagar,1660,4,2,2020,Yes,6954938,5,4189.721687,No,Yes
22810,Pimpri-Chinchwad,2797,5,1,2001,Yes,7473147,24,2671.843761,No,Yes
22811,Hinjewadi,2984,5,3,2015,Yes,12895508,10,4321.550938,Yes,Yes
22812,Koregaon Park,1834,3,1,2022,No,6662784,3,3632.924755,No,Yes
22813,Pimpri-Chinchwad,1126,5,3,2018,No,11563996,7,10269.97869,Yes,Yes
22814,Viman Nagar,1956,5,1,1989,No,11260981,36,5757.147751,Yes,Yes
22815,Kalyani Nagar,2056,1,1,1989,Yes,9583092,36,4661.036965,No,Yes
22816,Pimpri-Chinchwad,3418,4,3,2022,Yes,4143308,3,1212.202458,No,No
22817,Kalyani Nagar,3426,3,1,1987,No,10507508,38,3066.990076,Yes,Yes
22818,Pimpri-Chinchwad,2240,1,3,2012,No,5594022,13,2497.33125,No,Yes
22819,Viman Nagar,882,3,3,2001,Yes,14631765,24,16589.30272,Yes,Yes
22820,Koregaon Park,1614,4,1,2003,Yes,10317762,22,6392.665428,Yes,Yes
22821,Kalyani Nagar,911,3,2,2005,Yes,9785295,20,10741.26784,No,Yes
22822,Kalyani Nagar,3135,3,2,2001,No,7813284,24,2492.275598,No,Yes
22823,Koregaon Park,2088,5,1,2019,Yes,4672927,6,2237.991858,No,No
22824,Kalyani Nagar,1194,3,1,2007,Yes,6158768,18,5158.097152,No,Yes
22825,Hinjewadi,1451,5,1,1983,Yes,12033931,42,8293.543074,Yes,Yes
22826,Koregaon Park,1963,5,2,2015,No,2628149,10,1338.843097,No,No
22827,Viman Nagar,2433,4,3,2002,No,7837391,23,3221.286889,No,Yes
22828,Pimpri-Chinchwad,2897,3,2,1987,No,14162785,38,4888.77632,Yes,Yes
22829,Pimpri-Chinchwad,2968,5,1,2014,No,5379122,11,1812.372642,No,Yes
22830,Koregaon Park,2712,5,1,1999,No,5154364,26,1900.576696,No,Yes
22831,Hinjewadi,3011,2,1,1995,Yes,13691390,30,4547.123879,Yes,Yes
22832,Viman Nagar,1224,5,3,2000,Yes,12262867,25,10018.68219,Yes,Yes
22833,Pimpri-Chinchwad,2512,5,1,2014,Yes,13068560,11,5202.452229,Yes,Yes
22834,Pimpri-Chinchwad,2642,3,1,2000,No,14001523,25,5299.592354,Yes,Yes
22835,Hinjewadi,3206,4,1,2009,No,8262531,16,2577.208671,No,Yes
22836,Kalyani Nagar,1289,4,1,1984,No,4575787,41,3549.873545,No,No
22837,Koregaon Park,1104,4,2,2015,Yes,2235121,10,2024.566123,No,No
22838,Hinjewadi,1896,3,3,1988,No,8222020,37,4336.508439,No,Yes
22839,Hinjewadi,2041,1,1,1987,No,8495243,38,4162.294463,No,Yes
22840,Hinjewadi,1758,5,1,2020,No,9313241,5,5297.634243,No,Yes
22841,Hinjewadi,3474,3,2,2014,No,7733759,11,2226.182786,No,Yes
22842,Kalyani Nagar,1477,2,3,2015,Yes,14458267,10,9788.941774,Yes,Yes
22843,Viman Nagar,3264,4,2,1993,No,11157138,32,3418.240809,Yes,Yes
22844,Hinjewadi,2916,3,1,2022,No,8564569,3,2937.094993,No,Yes
22845,Hinjewadi,1321,2,3,1996,No,4427637,29,3351.731264,No,No
22846,Koregaon Park,2719,2,3,2020,Yes,2233022,5,821.2659066,No,No
22847,Pimpri-Chinchwad,2232,2,1,2023,Yes,12384836,2,5548.761649,Yes,Yes
22848,Kalyani Nagar,3315,2,3,2018,Yes,9283262,7,2800.380694,No,Yes
22849,Hinjewadi,1386,3,3,2001,Yes,4497092,24,3244.655123,No,No
22850,Viman Nagar,850,1,3,1981,Yes,13890945,44,16342.28824,Yes,Yes
22851,Viman Nagar,1089,3,2,2005,Yes,9770694,20,8972.170799,No,Yes
22852,Viman Nagar,867,1,1,1982,No,12140540,43,14002.92964,Yes,Yes
22853,Koregaon Park,2904,1,2,1997,Yes,2659545,28,915.821281,No,No
22854,Viman Nagar,2691,2,2,1992,No,4431844,33,1646.913415,No,No
22855,Koregaon Park,1129,3,2,1989,Yes,5560125,36,4924.822852,No,Yes
22856,Kalyani Nagar,3063,5,1,2021,No,6028410,4,1968.139079,No,Yes
22857,Viman Nagar,3151,5,1,1989,No,5835311,36,1851.89178,No,Yes
22858,Pimpri-Chinchwad,2213,5,3,2018,No,9742362,7,4402.33258,No,Yes
22859,Hinjewadi,1092,3,1,2007,Yes,12810359,18,11731.09799,Yes,Yes
22860,Kalyani Nagar,1065,1,2,2003,Yes,7928912,22,7444.987793,No,Yes
22861,Pimpri-Chinchwad,3454,2,3,1990,No,4466726,35,1293.203822,No,No
22862,Kalyani Nagar,1027,5,2,2022,No,5197052,3,5060.420643,No,Yes
22863,Viman Nagar,1992,5,1,2022,Yes,9287548,3,4662.423695,No,Yes
22864,Kalyani Nagar,2259,4,1,1988,No,13379392,37,5922.705622,Yes,Yes
22865,Kalyani Nagar,2625,2,1,2008,Yes,11889839,17,4529.462476,Yes,Yes
22866,Kalyani Nagar,3004,1,2,2020,Yes,3330953,5,1108.839214,No,No
22867,Koregaon Park,840,5,1,2004,Yes,10068288,21,11986.05714,Yes,Yes
22868,Pimpri-Chinchwad,2336,5,1,2009,Yes,12223594,16,5232.702911,Yes,Yes
22869,Viman Nagar,913,5,3,1989,No,5679999,36,6221.247536,No,Yes
22870,Hinjewadi,2527,1,3,2005,Yes,9443861,20,3737.182825,No,Yes
22871,Viman Nagar,3481,4,3,1987,Yes,14133304,38,4060.12755,Yes,Yes
22872,Viman Nagar,1963,3,3,1997,Yes,2503550,28,1275.369333,No,No
22873,Koregaon Park,1462,5,1,2005,No,5180349,20,3543.330369,No,Yes
22874,Koregaon Park,3488,3,1,2013,Yes,2059323,12,590.4022362,No,No
22875,Kalyani Nagar,2046,1,2,1987,No,10816114,38,5286.468231,Yes,Yes
22876,Viman Nagar,1413,1,1,2013,No,12332355,12,8727.781316,Yes,Yes
22877,Pimpri-Chinchwad,1720,4,2,2022,Yes,14756368,3,8579.283721,Yes,Yes
22878,Koregaon Park,2245,4,1,1986,Yes,8933695,39,3979.374165,No,Yes
22879,Koregaon Park,1690,5,1,1995,Yes,9956293,30,5891.297633,No,Yes
22880,Pimpri-Chinchwad,1942,2,3,2021,No,8011398,4,4125.333677,No,Yes
22881,Koregaon Park,2595,4,3,1982,No,7514125,43,2895.61657,No,Yes
22882,Pimpri-Chinchwad,2250,2,3,1991,No,9233413,34,4103.739111,No,Yes
22883,Hinjewadi,3193,3,3,1986,Yes,14571827,39,4563.678985,Yes,Yes
22884,Pimpri-Chinchwad,3036,2,1,1981,No,2607723,44,858.9337945,No,No
22885,Hinjewadi,831,5,3,1997,No,7571001,28,9110.711191,No,Yes
22886,Kalyani Nagar,2752,1,3,1995,Yes,13700718,30,4978.458576,Yes,Yes
22887,Kalyani Nagar,2087,4,2,1985,Yes,7982858,40,3825.03977,No,Yes
22888,Koregaon Park,1846,5,2,1998,Yes,8197266,27,4440.555796,No,Yes
22889,Pimpri-Chinchwad,1215,1,2,2021,Yes,8749804,4,7201.484774,No,Yes
22890,Koregaon Park,1442,1,2,2006,Yes,5121092,19,3551.381415,No,Yes
22891,Pimpri-Chinchwad,1355,3,2,2017,No,2939606,8,2169.450923,No,No
22892,Koregaon Park,1493,3,2,2015,Yes,7176283,10,4806.619558,No,Yes
22893,Kalyani Nagar,3365,3,1,1985,No,3050772,40,906.6187221,No,No
22894,Kalyani Nagar,1125,5,3,2006,Yes,14124006,19,12554.672,Yes,Yes
22895,Koregaon Park,1242,4,3,2012,No,3958678,13,3187.341385,No,No
22896,Pimpri-Chinchwad,2329,2,3,1982,No,9715313,43,4171.452555,No,Yes
22897,Viman Nagar,2396,4,3,1995,Yes,10521075,30,4391.09975,Yes,Yes
22898,Pimpri-Chinchwad,2504,1,1,2021,No,3669276,4,1465.365815,No,No
22899,Koregaon Park,2290,5,3,2014,No,7222549,11,3153.951528,No,Yes
22900,Pimpri-Chinchwad,2156,3,1,2021,Yes,5430809,4,2518.928108,No,Yes
22901,Hinjewadi,2756,2,1,2002,Yes,14969187,23,5431.490203,Yes,Yes
22902,Pimpri-Chinchwad,1864,1,2,1995,No,7236095,30,3882.025215,No,Yes
22903,Kalyani Nagar,3261,4,2,2003,Yes,10307640,22,3160.883165,Yes,Yes
22904,Kalyani Nagar,2171,3,1,1991,Yes,6913173,34,3184.326578,No,Yes
22905,Hinjewadi,2249,2,3,1991,No,9727240,34,4325.140062,No,Yes
22906,Pimpri-Chinchwad,2115,5,2,2013,No,13091991,12,6190.066667,Yes,Yes
22907,Viman Nagar,1879,1,3,2010,No,3949687,15,2102.015434,No,No
22908,Pimpri-Chinchwad,2406,5,1,2004,No,6480267,21,2693.377805,No,Yes
22909,Kalyani Nagar,2704,1,3,1997,Yes,8990902,28,3325.037722,No,Yes
22910,Kalyani Nagar,877,1,1,1999,No,9473555,26,10802.22919,No,Yes
22911,Koregaon Park,2448,4,2,2022,Yes,8588592,3,3508.411765,No,Yes
22912,Kalyani Nagar,2617,5,3,2006,Yes,7276678,19,2780.541842,No,Yes
